condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage),LOG_RT
0-Control-RR,ADK,0.53,450-750 MS.,,0.34,0.22,-0.18,0.65,-0.35,0.35,-1.54
0-Control-RR,ADK,0.98,750-1150 MS.,,0.25,0.33,-0.73,0.25,-0.75,0.75,-1.1
0-Control-RR,ADK,0.96,750-1150 MS.,,0.27,0.43,-0.68,0.28,-0.72,0.72,-0.85
0-Control-RR,ADK,0.8,750-1150 MS.,,0.20,0.55,-0.6,0.25,-0.75,0.75,-0.6
0-Control-RR,ADK,0.41,150-450 MS.,,0.35,0.42,-0.06,0.85,-0.15,0.15,-0.88
0-Control-RR,ADK,0.86,750-1150 MS.,,0.38,0.49,-0.49,0.44,-0.56,0.56,-0.71
0-Control-RR,ADK,1.11,750-1150 MS.,,0.32,0.58,-0.79,0.29,-0.71,0.71,-0.55
0-Control-RR,ADK,0.35,150-450 MS.,,0.23,0.42,-0.12,0.65,-0.35,0.35,-0.88
0-Control-RR,ADK,0.52,450-750 MS.,,0.28,0.46,-0.24,0.53,-0.47,0.47,-0.78
0-Control-RR,ADK,0.87,750-1150 MS.,,0.31,0.46,-0.55,0.36,-0.64,0.64,-0.78
0-Control-RR,ADK,0.37,150-450 MS.,,0.22,0.52,-0.16,0.58,-0.42,0.42,-0.65
0-Control-RR,ADK,0.59,450-750 MS.,,0.37,0.68,-0.22,0.63,-0.37,0.37,-0.38
0-Control-RR,ADK,1.11,750-1150 MS.,,0.33,0.47,-0.78,0.3,-0.7,0.7,-0.75
0-Control-RR,ADK,0.75,750-1150 MS.,,0.22,0.41,-0.54,0.29,-0.71,0.71,-0.9
0-Control-RR,ADK,0.51,450-750 MS.,,0.28,0.39,-0.23,0.55,-0.45,0.45,-0.93
0-Control-RR,ADK,0.18,150-450 MS.,,0.11,0.56,-0.07,0.61,-0.39,0.39,-0.58
0-Control-RR,ADK,1.11,750-1150 MS.,,0.42,0.42,-0.69,0.38,-0.62,0.62,-0.87
0-Control-RR,ADK,0.33,150-450 MS.,,0.27,0.48,-0.06,0.83,-0.17,0.17,-0.73
0-Control-RR,ADK,0.18,150-450 MS.,,0.26,0.72,0.08,1.42,0.42,-0.42,-0.33
0-Control-RR,ADK,1.04,750-1150 MS.,,0.24,0.51,-0.8,0.23,-0.77,0.77,-0.68
0-Control-RR,ADK,0.82,750-1150 MS.,,0.27,0.47,-0.55,0.33,-0.67,0.67,-0.76
0-Control-RR,ADK,1.06,750-1150 MS.,,0.34,0.61,-0.72,0.32,-0.68,0.68,-0.5
0-Control-RR,ADK,0.33,150-450 MS.,,0.17,0.66,-0.16,0.51,-0.49,0.49,-0.41
0-Control-RR,ADK,0.48,450-750 MS.,,0.27,0.62,-0.2,0.57,-0.43,0.43,-0.48
0-Control-RR,ADK,0.46,450-750 MS.,,0.27,1.06,-0.18,0.6,-0.4,0.4,0.06
0-Control-RR,ADK,0.86,750-1150 MS.,,0.27,0.62,-0.59,0.32,-0.68,0.68,-0.48
0-Control-RR,ADK,0.42,150-450 MS.,,0.24,0.51,-0.18,0.58,-0.42,0.42,-0.67
0-Control-RR,ADK,0.62,450-750 MS.,,0.27,0.51,-0.35,0.44,-0.56,0.56,-0.66
0-Control-RR,ADK,0.32,150-450 MS.,,0.22,1.34,-0.1,0.68,-0.32,0.32,0.29
0-Control-RR,ADK,0.42,150-450 MS.,,0.23,0.50,-0.19,0.55,-0.45,0.45,-0.69
0-Control-RR,ADK,0.2,150-450 MS.,,0.18,0.46,-0.03,0.86,-0.14,0.14,-0.77
