condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,space_RT,DIFFERENCE,RATIO,ABS ERROR,Avg.underest.(percentage)
0-Control-RR,EB,0.41,150-450 MS.,,0.44,0.29,0.03,1.060908758,0.060908758,-0.060908758
0-Control-RR,EB,0.8,750-1150 MS.,,0.48,0.33,-0.32,0.596407342,-0.403592658,0.403592658
0-Control-RR,EB,0.42,150-450 MS.,,0.32,0.49,-0.1,0.767469047,-0.232530953,0.232530953
0-Control-RR,EB,0.96,750-1150 MS.,,0.29,0.4,-0.67,0.301092702,-0.698907298,0.698907298
0-Control-RR,EB,1.06,750-1150 MS.,,0.66,0.14,-0.4,0.620166379,-0.379833621,0.379833621
0-Control-RR,EB,0.75,750-1150 MS.,,0.6,0.29,-0.15,0.798264205,-0.201735795,0.201735795
0-Control-RR,EB,0.28,150-450 MS.,,0.39,0.38,0.11,1.402788411,0.402788411,-0.402788411
0-Control-RR,EB,0.51,450-750 MS.,,0.46,0.3,-0.05,0.910093458,-0.089906542,0.089906542
0-Control-RR,EB,0.32,150-450 MS.,,0.41,0.41,0.09,1.277298976,0.277298976,-0.277298976
0-Control-RR,EB,0.21,150-450 MS.,,0.5,0.53,0.29,2.383755644,1.383755644,-1.383755644
0-Control-RR,EB,0.89,750-1150 MS.,,0.62,0.18,-0.27,0.698495996,-0.301504004,0.301504004
0-Control-RR,EB,0.42,150-450 MS.,,0.34,0.31,-0.08,0.802084816,-0.197915184,0.197915184
0-Control-RR,EB,0.66,450-750 MS.,,0.48,0.17,-0.18,0.732549355,-0.267450645,0.267450645
0-Control-RR,EB,0.53,450-750 MS.,,0.66,0.24,0.13,1.241652989,0.241652989,-0.241652989
0-Control-RR,EB,1.11,750-1150 MS.,,0.59,0.11,-0.52,0.533654158,-0.466345842,0.466345842
0-Control-RR,EB,0.62,450-750 MS.,,0.43,9.75,-0.19,0.698883719,-0.301116281,0.301116281
0-Control-RR,EB,0.98,750-1150 MS.,,0.42,0.57,-0.56,0.425980691,-0.574019309,0.574019309
0-Control-RR,EB,0.86,750-1150 MS.,,0.38,0.31,-0.49,0.435880927,-0.564119073,0.564119073
0-Control-RR,EB,0.33,150-450 MS.,,0.46,0.3,0.13,1.3860814,0.3860814,-0.3860814
0-Control-RR,EB,0.98,750-1150 MS.,,0.7,0.29,-0.28,0.713431291,-0.286568709,0.286568709
0-Control-RR,EB,0.8,750-1150 MS.,,0.34,0.32,-0.46,0.42766397,-0.57233603,0.57233603
0-Control-RR,EB,1.05,750-1150 MS.,,0.46,0.18,-0.58,0.443180954,-0.556819046,0.556819046
0-Control-RR,EB,0.18,150-450 MS.,,0.34,0.3,0.16,1.86469913,0.86469913,-0.86469913
0-Control-RR,EB,1,750-1150 MS.,,0.71,0.1,-0.28,0.714414426,-0.285585574,0.285585574
0-Control-RR,EB,0.35,150-450 MS.,,0.38,0.39,0.04,1.10056253,0.10056253,-0.10056253
0-Control-RR,EB,0.22,150-450 MS.,,0.43,0.28,0.21,1.965656729,0.965656729,-0.965656729
0-Control-RR,EB,0.73,450-750 MS.,,0.58,0.28,-0.14,0.801934811,-0.198065189,0.198065189
0-Control-RR,EB,0.73,450-750 MS.,,0.54,0.31,-0.2,0.731921112,-0.268078888,0.268078888
0-Control-RR,EB,0.92,750-1150 MS.,,0.78,-0.09,-0.14,0.846832539,-0.153167461,0.153167461
0-Control-RR,EB,0.87,750-1150 MS.,,0.54,0.45,-0.33,0.618944615,-0.381055385,0.381055385
0-Control-RR,EB,0.35,150-450 MS.,,0.48,0.35,0.13,1.353399759,0.353399759,-0.353399759
0-Control-RR,EB,1.11,750-1150 MS.,,0.82,0.2,-0.29,0.74069205,-0.25930795,0.25930795
0-Control-RR,EB,1.04,750-1150 MS.,,0.84,0.37,-0.2,0.811435765,-0.188564235,0.188564235
0-Control-RR,EB,0.46,450-750 MS.,,0.54,0.76,0.08,1.184912059,0.184912059,-0.184912059
0-Control-RR,EB,0.48,450-750 MS.,,0.5,0.24,0.02,1.041284025,0.041284025,-0.041284025
0-Control-RR,EB,0.37,150-450 MS.,,0.45,0.26,0.07,1.196203683,0.196203683,-0.196203683
0-Control-RR,EB,0.33,150-450 MS.,,0.46,1.76,0.13,1.382782044,0.382782044,-0.382782044
0-Control-RR,EB,1.11,750-1150 MS.,,0.74,0.4,-0.36,0.672185203,-0.327814797,0.327814797
0-Control-RR,EB,1.08,750-1150 MS.,,0.65,0.32,-0.44,0.597599432,-0.402400568,0.402400568
0-Control-RR,EB,0.18,150-450 MS.,,0.38,0.38,0.21,2.175883503,1.175883503,-1.175883503
0-Control-RR,EB,0.18,150-450 MS.,,0.31,0.44,0.13,1.732399865,0.732399865,-0.732399865
0-Control-RR,EB,0.86,750-1150 MS.,,0.32,0.37,-0.54,0.372927175,-0.627072825,0.627072825
0-Control-RR,EB,0.2,150-450 MS.,,0.46,0.51,0.25,2.22919236,1.22919236,-1.22919236
0-Control-RR,EB,0.71,450-750 MS.,,0.43,0.33,-0.28,0.608130362,-0.391869638,0.391869638
0-Control-RR,EB,1.06,750-1150 MS.,,0.42,0.15,-0.64,0.399184951,-0.600815049,0.600815049
0-Control-RR,EB,0.59,450-750 MS.,,0.48,0.17,-0.11,0.817817978,-0.182182022,0.182182022
0-Control-RR,EB,0.52,450-750 MS.,,0.55,0.64,0.03,1.051950194,0.051950194,-0.051950194
0-Control-RR,EB,0.82,750-1150 MS.,,0.62,0.26,-0.19,0.763238125,-0.236761875,0.236761875
0-Control-RR,EB,0.71,450-750 MS.,,0.65,0.23,-0.06,0.918687768,-0.081312232,0.081312232
