trials,wait_duration_before_circle
1,0.959137846
2,0.506258775
3,0.078734965
4,0.86331994
5,0.947654482
6,0.203664835
7,0.332484143
8,0.949363749
9,0.125378007
10,1.038842503
11,1.01623601
12,0.102487826
13,0.30788367
14,1.005146131
15,0.191998772
16,0.036895639
17,0.097714269
18,0.288081408
19,1.083875043
20,0.202528509
21,0.296808711
22,0.582864099
23,0.392713578
24,0.522592977
25,1.060969319
26,0.639003758
27,0.659834386
28,0.098025632
29,0.925975641
30,0.135212709
31,0.90986679
32,0.800857141
33,0.896933143
34,0.389565696
35,0.303810126
36,0.496412821
37,0.858710241
38,0.089938404
39,0.936714948
40,0.653773655
41,0.460774155
42,0.127536671
43,0.621268988
44,0.8614392
45,0.407842659
46,1.08977017
47,0.039500949
48,0.660622873
49,0.266871577
50,0.037200316
