condition,participant,wait_duration_before_circle,BINNING,is_valid,space_pressed_duration,DIFF,RATIO,ABS ERROR,Avg.underest.(percentage)
0-Control-RR,ad,0.9,750-1100 MS.,,0.55,-0.34,0.62,-0.38,0.38
0-Control-RR,ad,0.66,350-750 MS.,,0.46,-0.2,0.69,-0.31,0.31
0-Control-RR,ad,0.31,0-350 MS.,,0.58,0.28,1.9,0.9,-0.9
0-Control-RR,ad,0.86,750-1100 MS.,,0.64,-0.22,0.75,-0.25,0.25
0-Control-RR,ad,0.04,0-350 MS.,,0.41,0.37,10.97,9.97,-9.97
0-Control-RR,ad,0.19,0-350 MS.,,0.6,0.41,3.12,2.12,-2.12
0-Control-RR,ad,0.64,350-750 MS.,,0.63,-0.01,0.99,-0.01,0.01
0-Control-RR,ad,0.14,0-350 MS.,,0.27,0.14,2.01,1.01,-1.01
0-Control-RR,ad,0.13,0-350 MS.,,0.25,0.12,1.98,0.98,-0.98
0-Control-RR,ad,0.86,750-1100 MS.,,0.34,-0.52,0.4,-0.6,0.6
0-Control-RR,ad,0.3,0-350 MS.,,0.4,0.1,1.32,0.32,-0.32
0-Control-RR,ad,0.96,750-1100 MS.,,0.86,-0.1,0.89,-0.11,0.11
0-Control-RR,ad,1.06,750-1100 MS.,,0.78,-0.28,0.73,-0.27,0.27
0-Control-RR,ad,0.33,0-350 MS.,,0.62,0.29,1.88,0.88,-0.88
0-Control-RR,ad,0.95,750-1100 MS.,,0.75,-0.2,0.79,-0.21,0.21
0-Control-RR,ad,0.04,0-350 MS.,,0.43,0.39,10.94,9.94,-9.94
0-Control-RR,ad,0.51,350-750 MS.,,0.8,0.29,1.58,0.58,-0.58
0-Control-RR,ad,0.86,750-1100 MS.,,0.88,0.02,1.02,0.02,-0.02
0-Control-RR,ad,1.01,750-1100 MS.,,0.85,-0.16,0.84,-0.16,0.16
0-Control-RR,ad,0.3,0-350 MS.,,0.59,0.3,1.99,0.99,-0.99
0-Control-RR,ad,0.93,750-1100 MS.,,0.9,-0.03,0.97,-0.03,0.03
0-Control-RR,ad,0.8,750-1100 MS.,,0.46,-0.34,0.57,-0.43,0.43
0-Control-RR,ad,0.5,350-750 MS.,,0.69,0.19,1.39,0.39,-0.39
0-Control-RR,ad,1.02,750-1100 MS.,,0.99,-0.02,0.98,-0.02,0.02
0-Control-RR,ad,0.95,750-1100 MS.,,0.96,0.01,1.01,0.01,-0.01
0-Control-RR,ad,0.13,0-350 MS.,,0.74,0.62,5.83,4.83,-4.83
0-Control-RR,ad,0.1,0-350 MS.,,0.47,0.37,4.81,3.81,-3.81
0-Control-RR,ad,1.08,750-1100 MS.,,0.27,-0.81,0.25,-0.75,0.75
0-Control-RR,ad,0.39,350-750 MS.,,0.32,-0.07,0.82,-0.18,0.18
0-Control-RR,ad,0.62,350-750 MS.,,0.5,-0.13,0.8,-0.2,0.2
0-Control-RR,ad,0.91,750-1100 MS.,,0.7,-0.21,0.76,-0.24,0.24
0-Control-RR,ad,0.52,350-750 MS.,,0.88,0.36,1.68,0.68,-0.68
0-Control-RR,ad,0.1,0-350 MS.,,0.34,0.23,3.28,2.28,-2.28
0-Control-RR,ad,0.41,350-750 MS.,,0.5,0.09,1.22,0.22,-0.22
0-Control-RR,ad,0.2,0-350 MS.,,0.42,0.22,2.09,1.09,-1.09
0-Control-RR,ad,0.65,350-750 MS.,,0.46,-0.19,0.71,-0.29,0.29
0-Control-RR,ad,0.2,0-350 MS.,,0.21,0,1.02,0.02,-0.02
0-Control-RR,ad,0.46,350-750 MS.,,0.53,0.07,1.15,0.15,-0.15
0-Control-RR,ad,0.58,350-750 MS.,,0.75,0.17,1.29,0.29,-0.29
0-Control-RR,ad,1.04,750-1100 MS.,,1.03,-0.01,0.99,-0.01,0.01
0-Control-RR,ad,0.39,350-750 MS.,,0.61,0.22,1.55,0.55,-0.55
0-Control-RR,ad,0.09,0-350 MS.,,0.66,0.57,7.29,6.29,-6.29
0-Control-RR,ad,0.04,0-350 MS.,,0.42,0.39,11.49,10.49,-10.49
0-Control-RR,ad,0.66,350-750 MS.,,0.42,-0.24,0.63,-0.37,0.37
0-Control-RR,ad,1.09,750-1100 MS.,,1.02,-0.07,0.94,-0.06,0.06
0-Control-RR,ad,0.29,0-350 MS.,,0.45,0.16,1.56,0.56,-0.56
0-Control-RR,ad,0.27,0-350 MS.,,0.21,-0.06,0.78,-0.22,0.22
0-Control-RR,ad,0.94,750-1100 MS.,,0.84,-0.1,0.9,-0.1,0.1
0-Control-RR,ad,0.08,0-350 MS.,,0.19,0.11,2.44,1.44,-1.44
0-Control-RR,ad,0.1,0-350 MS.,,0.18,0.09,1.88,0.88,-0.88
0-Control-RR,ag,0.31,0-350 MS.,,0.26,-0.04,0.86,-0.14,0.14
0-Control-RR,ag,1.04,750-1100 MS.,,0.47,-0.57,0.45,-0.55,0.55
0-Control-RR,ag,0.46,350-750 MS.,,0.3,-0.16,0.66,-0.34,0.34
0-Control-RR,ag,0.1,0-350 MS.,,0.17,0.07,1.71,0.71,-0.71
0-Control-RR,ag,1.09,750-1100 MS.,,0.74,-0.35,0.68,-0.32,0.32
0-Control-RR,ag,0.3,0-350 MS.,,0.32,0.02,1.05,0.05,-0.05
0-Control-RR,ag,0.2,0-350 MS.,,0.28,0.08,1.38,0.38,-0.38
0-Control-RR,ag,0.04,0-350 MS.,,0.19,0.15,4.86,3.86,-3.86
0-Control-RR,ag,0.52,350-750 MS.,,0.38,-0.15,0.72,-0.28,0.28
0-Control-RR,ag,1.02,750-1100 MS.,,0.84,-0.18,0.83,-0.17,0.17
0-Control-RR,ag,0.58,350-750 MS.,,0.42,-0.17,0.71,-0.29,0.29
0-Control-RR,ag,0.14,0-350 MS.,,0.26,0.13,1.95,0.95,-0.95
0-Control-RR,ag,0.86,750-1100 MS.,,0.69,-0.17,0.8,-0.2,0.2
0-Control-RR,ag,0.95,750-1100 MS.,,1,0.05,1.06,0.06,-0.06
0-Control-RR,ag,0.65,350-750 MS.,,0.46,-0.19,0.71,-0.29,0.29
0-Control-RR,ag,0.1,0-350 MS.,,0.18,0.09,1.88,0.88,-0.88
0-Control-RR,ag,0.66,350-750 MS.,,0.24,-0.42,0.36,-0.64,0.64
0-Control-RR,ag,0.04,0-350 MS.,,0.18,0.15,4.99,3.99,-3.99
0-Control-RR,ag,0.51,350-750 MS.,,0.5,0,1,0,0
0-Control-RR,ag,0.13,0-350 MS.,,0.2,0.07,1.57,0.57,-0.57
0-Control-RR,ag,0.39,350-750 MS.,,0.15,-0.24,0.39,-0.61,0.61
0-Control-RR,ag,0.29,0-350 MS.,,0.15,-0.14,0.53,-0.47,0.47
0-Control-RR,ag,0.94,750-1100 MS.,,0.7,-0.24,0.74,-0.26,0.26
0-Control-RR,ag,0.19,0-350 MS.,,0.16,-0.03,0.83,-0.17,0.17
0-Control-RR,ag,0.96,750-1100 MS.,,0.97,0.01,1.01,0.01,-0.01
0-Control-RR,ag,0.33,0-350 MS.,,0.18,-0.16,0.53,-0.47,0.47
0-Control-RR,ag,0.08,0-350 MS.,,0.12,0.04,1.52,0.52,-0.52
0-Control-RR,ag,0.39,350-750 MS.,,0.21,-0.18,0.53,-0.47,0.47
0-Control-RR,ag,0.8,750-1100 MS.,,0.82,0.02,1.03,0.03,-0.03
0-Control-RR,ag,1.08,750-1100 MS.,,0.74,-0.34,0.69,-0.31,0.31
0-Control-RR,ag,0.04,0-350 MS.,,0.18,0.14,4.73,3.73,-3.73
0-Control-RR,ag,0.27,0-350 MS.,,0.19,-0.07,0.72,-0.28,0.28
0-Control-RR,ag,0.09,0-350 MS.,,0.07,-0.02,0.8,-0.2,0.2
0-Control-RR,ag,0.66,350-750 MS.,,0.22,-0.44,0.33,-0.67,0.67
0-Control-RR,ag,0.3,0-350 MS.,,0.18,-0.11,0.62,-0.38,0.38
0-Control-RR,ag,0.5,350-750 MS.,,0.33,-0.17,0.66,-0.34,0.34
0-Control-RR,ag,0.41,350-750 MS.,,0.21,-0.2,0.51,-0.49,0.49
0-Control-RR,ag,0.95,750-1100 MS.,,0.27,-0.68,0.29,-0.71,0.71
0-Control-RR,ag,0.62,350-750 MS.,,0.27,-0.35,0.44,-0.56,0.56
0-Control-RR,ag,0.13,0-350 MS.,,0.13,0,1.02,0.02,-0.02
0-Control-RR,ag,0.1,0-350 MS.,,0.14,0.03,1.33,0.33,-0.33
0-Control-RR,ag,0.64,350-750 MS.,,0.29,-0.35,0.45,-0.55,0.55
0-Control-RR,ag,0.91,750-1100 MS.,,0.43,-0.48,0.47,-0.53,0.53
0-Control-RR,ag,0.9,750-1100 MS.,,0.21,-0.69,0.23,-0.77,0.77
0-Control-RR,ag,0.2,0-350 MS.,,0.17,-0.04,0.82,-0.18,0.18
0-Control-RR,ag,0.86,750-1100 MS.,,0.36,-0.5,0.42,-0.58,0.58
0-Control-RR,ag,0.93,750-1100 MS.,,0.3,-0.62,0.33,-0.67,0.67
0-Control-RR,ag,0.86,750-1100 MS.,,0.29,-0.57,0.33,-0.67,0.67
0-Control-RR,ag,1.01,750-1100 MS.,,0.98,-0.03,0.97,-0.03,0.03
0-Control-RR,ag,1.06,750-1100 MS.,,0.96,-0.1,0.9,-0.1,0.1
0-Control-RR,bs,0.96,750-1100 MS.,,0.6,-0.36,0.63,-0.37,0.37
0-Control-RR,bs,0.08,0-350 MS.,,0.22,0.15,2.84,1.84,-1.84
0-Control-RR,bs,1.09,750-1100 MS.,,0.2,-0.89,0.18,-0.82,0.82
0-Control-RR,bs,0.58,350-750 MS.,,0.28,-0.3,0.48,-0.52,0.52
0-Control-RR,bs,0.13,0-350 MS.,,0.3,0.18,2.42,1.42,-1.42
0-Control-RR,bs,1.02,750-1100 MS.,,0.49,-0.53,0.48,-0.52,0.52
0-Control-RR,bs,0.8,750-1100 MS.,,0.42,-0.38,0.52,-0.48,0.48
0-Control-RR,bs,0.04,0-350 MS.,,0.23,0.19,5.87,4.87,-4.87
0-Control-RR,bs,0.09,0-350 MS.,,0.28,0.19,3.11,2.11,-2.11
0-Control-RR,bs,0.95,750-1100 MS.,,0.62,-0.33,0.65,-0.35,0.35
0-Control-RR,bs,0.86,750-1100 MS.,,0.65,-0.21,0.75,-0.25,0.25
0-Control-RR,bs,0.94,750-1100 MS.,,0.3,-0.63,0.32,-0.68,0.68
0-Control-RR,bs,0.41,350-750 MS.,,0.33,-0.08,0.8,-0.2,0.2
0-Control-RR,bs,0.51,350-750 MS.,,0.34,-0.16,0.68,-0.32,0.32
0-Control-RR,bs,0.62,350-750 MS.,,0.33,-0.29,0.53,-0.47,0.47
0-Control-RR,bs,0.39,350-750 MS.,,0.31,-0.08,0.8,-0.2,0.2
0-Control-RR,bs,0.1,0-350 MS.,,0.32,0.22,3.27,2.27,-2.27
0-Control-RR,bs,0.66,350-750 MS.,,0.45,-0.21,0.68,-0.32,0.32
0-Control-RR,bs,0.91,750-1100 MS.,,0.67,-0.24,0.74,-0.26,0.26
0-Control-RR,bs,0.93,750-1100 MS.,,0.78,-0.15,0.84,-0.16,0.16
0-Control-RR,bs,0.27,0-350 MS.,,0.34,0.08,1.29,0.29,-0.29
0-Control-RR,bs,0.65,350-750 MS.,,0.46,-0.19,0.71,-0.29,0.29
0-Control-RR,bs,0.5,350-750 MS.,,0.34,-0.16,0.68,-0.32,0.32
0-Control-RR,bs,0.3,0-350 MS.,,0.31,0.01,1.03,0.03,-0.03
0-Control-RR,bs,0.9,750-1100 MS.,,0.46,-0.43,0.52,-0.48,0.48
0-Control-RR,bs,0.04,0-350 MS.,,0.23,0.2,6.29,5.29,-5.29
0-Control-RR,bs,0.95,750-1100 MS.,,0.5,-0.45,0.52,-0.48,0.48
0-Control-RR,bs,0.19,0-350 MS.,,0.2,0.01,1.04,0.04,-0.04
0-Control-RR,bs,1.08,750-1100 MS.,,0.51,-0.57,0.47,-0.53,0.53
0-Control-RR,bs,0.1,0-350 MS.,,0.19,0.09,1.87,0.87,-0.87
0-Control-RR,bs,0.14,0-350 MS.,,0.26,0.12,1.89,0.89,-0.89
0-Control-RR,bs,0.66,350-750 MS.,,0.33,-0.33,0.5,-0.5,0.5
0-Control-RR,bs,0.86,750-1100 MS.,,0.42,-0.43,0.49,-0.51,0.51
0-Control-RR,bs,0.1,0-350 MS.,,0.34,0.24,3.43,2.43,-2.43
0-Control-RR,bs,0.64,350-750 MS.,,0.22,-0.42,0.34,-0.66,0.66
0-Control-RR,bs,1.04,750-1100 MS.,,0.5,-0.53,0.49,-0.51,0.51
0-Control-RR,bs,0.86,750-1100 MS.,,0.65,-0.22,0.75,-0.25,0.25
0-Control-RR,bs,0.3,0-350 MS.,,0.38,0.08,1.27,0.27,-0.27
0-Control-RR,bs,0.33,0-350 MS.,,0.42,0.09,1.28,0.28,-0.28
0-Control-RR,bs,0.2,0-350 MS.,,0.35,0.15,1.74,0.74,-0.74
0-Control-RR,bs,0.39,350-750 MS.,,0.29,-0.1,0.73,-0.27,0.27
0-Control-RR,bs,0.31,0-350 MS.,,0.25,-0.06,0.81,-0.19,0.19
0-Control-RR,bs,1.01,750-1100 MS.,,0.53,-0.48,0.53,-0.47,0.47
0-Control-RR,bs,0.29,0-350 MS.,,0.42,0.13,1.44,0.44,-0.44
0-Control-RR,bs,0.04,0-350 MS.,,0.3,0.26,7.96,6.96,-6.96
0-Control-RR,bs,1.06,750-1100 MS.,,0.68,-0.38,0.64,-0.36,0.36
0-Control-RR,bs,0.46,350-750 MS.,,0.34,-0.12,0.73,-0.27,0.27
0-Control-RR,bs,0.52,350-750 MS.,,0.49,-0.03,0.93,-0.07,0.07
0-Control-RR,bs,0.2,0-350 MS.,,0.37,0.16,1.81,0.81,-0.81
0-Control-RR,bs,0.13,0-350 MS.,,0.45,0.32,3.51,2.51,-2.51
0-Control-RR,bt,1.06,750-1100 MS.,,0.45,-0.61,0.42,-0.58,0.58
0-Control-RR,bt,0.94,750-1100 MS.,,0.34,-0.6,0.36,-0.64,0.64
0-Control-RR,bt,0.27,0-350 MS.,,0.18,-0.09,0.66,-0.34,0.34
0-Control-RR,bt,0.8,750-1100 MS.,,0.25,-0.55,0.31,-0.69,0.69
0-Control-RR,bt,0.04,0-350 MS.,,0.16,0.12,4.3,3.3,-3.3
0-Control-RR,bt,0.51,350-750 MS.,,0.24,-0.27,0.47,-0.53,0.53
0-Control-RR,bt,0.2,0-350 MS.,,0.26,0.05,1.26,0.26,-0.26
0-Control-RR,bt,0.91,750-1100 MS.,,0.31,-0.6,0.34,-0.66,0.66
0-Control-RR,bt,1.02,750-1100 MS.,,0.34,-0.68,0.33,-0.67,0.67
0-Control-RR,bt,0.64,350-750 MS.,,0.21,-0.43,0.33,-0.67,0.67
0-Control-RR,bt,0.41,350-750 MS.,,0.23,-0.18,0.57,-0.43,0.43
0-Control-RR,bt,0.13,0-350 MS.,,0.16,0.03,1.25,0.25,-0.25
0-Control-RR,bt,0.14,0-350 MS.,,0.22,0.09,1.66,0.66,-0.66
0-Control-RR,bt,0.95,750-1100 MS.,,0.22,-0.72,0.24,-0.76,0.76
0-Control-RR,bt,0.13,0-350 MS.,,0.18,0.05,1.4,0.4,-0.4
0-Control-RR,bt,0.62,350-750 MS.,,0.12,-0.5,0.19,-0.81,0.81
0-Control-RR,bt,0.86,750-1100 MS.,,0.24,-0.62,0.28,-0.72,0.72
0-Control-RR,bt,0.66,350-750 MS.,,0.27,-0.39,0.41,-0.59,0.59
